date,tavg,tmin,tmax,prcp,city
2005-01-01,16.1,9.0,22.0,0.0,Delhi
2005-01-02,14.1,9.0,21.8,0.0,Delhi
2005-01-03,12.2,8.2,18.1,0.0,Delhi
2005-01-04,12.6,7.3,20.0,0.0,Delhi
2005-01-05,12.4,7.7,19.3,0.0,Delhi
2005-01-06,12.4,5.6,20.2,0.0,Delhi
2005-01-07,13.2,7.0,20.5,0.0,Delhi
2005-01-08,13.3,7.7,21.2,0.0,Delhi
2005-01-09,14.8,6.5,24.0,0.0,Delhi
2005-01-10,14.8,7.5,21.0,0.0,Delhi
2005-01-11,13.1,8.0,22.1,0.0,Delhi
2005-01-12,12.1,5.8,20.9,0.0,Delhi
2005-01-13,13.7,5.7,21.4,0.0,Delhi
2005-01-14,15.1,8.6,22.5,0.0,Delhi
2005-01-15,15.0,9.5,22.6,0.0,Delhi
2005-01-16,15.1,10.5,21.0,0.0,Delhi
2005-01-17,13.3,8.7,20.4,0.0,Delhi
2005-01-18,12.2,6.5,19.3,0.0,Delhi
2005-01-19,11.6,4.3,19.5,0.0,Delhi
2005-01-20,12.8,5.8,20.0,0.0,Delhi
2005-01-21,12.8,8.0,16.1,0.0,Delhi
2005-01-22,13.0,9.7,16.9,0.0,Delhi
2005-01-23,10.7,6.5,15.3,1.0,Delhi
2005-01-24,11.3,5.7,14.6,0.0,Delhi
2005-01-25,11.7,7.7,15.2,0.0,Delhi
2005-01-26,13.2,6.8,20.3,0.0,Delhi
2005-01-27,14.9,5.5,22.0,0.0,Delhi
2005-01-28,16.1,11.8,22.0,2.0,Delhi
2005-01-29,14.5,8.8,21.0,0.0,Delhi
2005-01-30,14.5,8.4,20.7,0.0,Delhi
2005-01-31,14.2,8.5,21.3,0.0,Delhi
2005-02-01,12.5,7.5,19.2,0.0,Delhi
2005-02-02,12.8,6.6,20.2,0.0,Delhi
2005-02-03,13.3,5.7,22.0,0.0,Delhi
2005-02-04,14.8,7.3,23.4,0.0,Delhi
2005-02-05,15.9,7.3,23.8,0.0,Delhi
2005-02-06,15.4,12.2,18.8,7.1,Delhi
2005-02-07,16.6,13.0,21.9,2.0,Delhi
2005-02-08,18.0,13.0,24.0,30.0,Delhi
2005-02-09,18.5,13.7,24.6,0.0,Delhi
2005-02-10,18.6,13.2,25.2,0.0,Delhi
