date,tavg,tmin,tmax,prcp,city
2005-01-01,16.6,13.5,23.6,0.0,Lucknow
2005-01-02,18.2,12.9,24.7,0.0,Lucknow
2005-01-03,16.2,11.4,24.7,0.0,Lucknow
2005-01-04,15.3,9.9,24.0,0.0,Lucknow
2005-01-05,14.3,8.6,24.0,0.0,Lucknow
2005-01-06,14.6,7.3,23.4,0.0,Lucknow
2005-01-07,14.5,7.6,23.4,0.0,Lucknow
2005-01-08,14.2,7.9,22.6,0.0,Lucknow
2005-01-09,14.4,8.5,23.2,0.0,Lucknow
2005-01-10,16.9,9.5,25.4,0.0,Lucknow
2005-01-11,16.0,9.6,25.4,1.0,Lucknow
2005-01-12,15.2,9.7,23.3,0.0,Lucknow
2005-01-13,14.9,7.7,23.2,0.0,Lucknow
2005-01-14,16.3,8.9,24.6,0.0,Lucknow
2005-01-15,15.6,9.5,24.6,0.0,Lucknow
2005-01-16,17.1,9.2,26.8,0.0,Lucknow
2005-01-17,17.8,12.3,26.8,2.0,Lucknow
2005-01-18,16.0,10.6,24.7,0.0,Lucknow
2005-01-19,14.4,9.0,21.6,0.0,Lucknow
2005-01-20,13.5,6.1,21.3,0.0,Lucknow
2005-01-21,14.3,8.6,20.9,0.0,Lucknow
2005-01-22,14.7,11.1,20.5,4.1,Lucknow
2005-01-23,15.4,9.8,20.9,0.8,Lucknow
2005-01-24,13.7,8.4,21.1,0.0,Lucknow
2005-01-25,14.9,9.1,21.1,0.0,Lucknow
2005-01-26,15.1,9.1,21.8,0.0,Lucknow
2005-01-27,15.8,7.1,23.9,0.0,Lucknow
2005-01-28,17.9,12.9,23.9,1.0,Lucknow
2005-01-29,17.5,12.3,23.8,0.0,Lucknow
2005-01-30,18.9,10.8,25.4,0.0,Lucknow
2005-01-31,16.9,9.8,25.4,1.0,Lucknow
2005-02-01,14.8,8.7,20.8,5.1,Lucknow
2005-02-02,14.2,7.7,21.2,0.0,Lucknow
2005-02-03,14.9,7.7,22.7,0.0,Lucknow
2005-02-04,16.9,7.9,23.7,0.0,Lucknow
2005-02-05,18.0,10.1,24.8,0.0,Lucknow
2005-02-06,18.4,12.3,25.8,0.0,Lucknow
2005-02-07,19.1,13.3,25.8,0.0,Lucknow
2005-02-08,18.1,14.1,25.6,0.0,Lucknow
2005-02-09,19.7,13.3,27.6,0.0,Lucknow
2005-02-10,20.9,13.4,28.8,0.0,Lucknow
2005-02-11,21.6,14.5,30.1,0.0,Lucknow
2005-02-12,23.4,14.7,30.3,0.0,Lucknow
2005-02-13,21.9,16.5,30.3,0.0,Lucknow
2005-02-14,21.2,14.9,28.8,0.0,Lucknow
2005-02-15,20.3,14.4,27.8,0.0,Lucknow
2005-02-16,20.4,15.5,28.4,0.8,Lucknow
2005-02-17,20.2,13.7,29.7,0.0,Lucknow
2005-02-18,19.9,13.5,29.7,0.0,Lucknow
