date,tavg,tmin,tmax,prcp,city
2005-01-01,22.3,15.1,26.0,0.0,Mumbai
2005-01-02,22.6,15.1,27.2,0.0,Mumbai
2005-01-03,23.5,16.6,30.1,0.0,Mumbai
2005-01-04,26.1,17.5,35.0,0.0,Mumbai
2005-01-05,27.5,19.6,33.3,0.0,Mumbai
2005-01-06,26.0,18.0,32.8,0.0,Mumbai
2005-01-07,25.2,16.5,33.5,0.0,Mumbai
2005-01-08,26.3,15.6,34.2,0.0,Mumbai
2005-01-09,26.0,17.1,32.2,0.0,Mumbai
2005-01-10,24.8,15.2,30.2,0.0,Mumbai
2005-01-11,24.8,17.1,28.3,0.0,Mumbai
2005-01-12,24.8,15.7,29.0,0.0,Mumbai
2005-01-13,26.0,15.3,29.8,0.0,Mumbai
2005-01-14,24.5,15.2,30.5,0.0,Mumbai
2005-01-15,25.1,15.8,30.6,0.0,Mumbai
2005-01-16,24.2,15.8,30.6,0.0,Mumbai
2005-01-17,23.8,15.7,30.7,0.0,Mumbai
2005-01-18,21.8,14.5,30.7,0.0,Mumbai
2005-01-19,22.3,11.5,30.8,0.0,Mumbai
2005-01-20,24.9,16.2,33.2,0.0,Mumbai
2005-01-21,25.6,16.6,33.2,0.0,Mumbai
2005-01-22,23.8,17.8,30.1,0.0,Mumbai
2005-01-23,22.6,15.1,30.0,0.0,Mumbai
2005-01-24,23.1,14.8,30.0,0.0,Mumbai
2005-01-25,23.1,17.3,30.6,0.0,Mumbai
2005-01-26,22.7,17.2,30.7,0.0,Mumbai
2005-01-27,24.3,17.2,30.8,0.0,Mumbai
2005-01-28,24.4,16.2,31.0,0.0,Mumbai
2005-01-29,24.4,15.2,31.2,0.0,Mumbai
2005-01-30,24.3,14.2,31.4,0.0,Mumbai
2005-01-31,24.7,15.8,31.5,0.3,Mumbai
2005-02-01,25.7,17.5,31.7,0.0,Mumbai
2005-02-02,26.4,17.6,31.9,0.0,Mumbai
2005-02-03,26.8,15.3,32.1,0.0,Mumbai
2005-02-04,27.6,16.5,32.3,0.0,Mumbai
2005-02-05,27.2,16.8,32.5,0.0,Mumbai
2005-02-06,26.7,19.0,32.7,0.0,Mumbai
2005-02-07,27.0,20.2,32.9,0.0,Mumbai
2005-02-08,27.6,18.8,33.0,0.0,Mumbai
2005-02-09,28.8,21.6,33.2,0.0,Mumbai
2005-02-10,27.9,18.5,33.4,0.0,Mumbai
2005-02-11,26.9,18.6,33.6,0.0,Mumbai
2005-02-12,28.2,19.6,34.3,0.0,Mumbai
2005-02-13,29.6,17.1,35.0,0.0,Mumbai
2005-02-14,28.8,17.6,33.9,0.0,Mumbai
2005-02-15,27.3,16.5,32.7,0.0,Mumbai
2005-02-16,27.4,21.3,31.6,0.0,Mumbai
2005-02-17,26.1,20.6,30.4,0.0,Mumbai
2005-02-18,25.2,18.0,29.3,0.0,Mumbai
2005-02-19,24.4,15.3,28.1,0.0,Mumbai
2005-02-20,22.6,12.7,27.0,0.0,Mumbai
2005-02-21,25.2,12.5,28.5,0.0,Mumbai
2005-02-22,25.2,13.5,29.9,0.0,Mumbai
2005-02-23,24.0,14.5,31.4,0.0,Mumbai
2005-02-24,25.4,16.2,32.8,0.0,Mumbai
2005-02-25,27.3,17.7,33.4,0.0,Mumbai
2005-02-26,29.8,19.3,34.3,0.0,Mumbai
2005-02-27,28.3,21.5,35.2,0.0,Mumbai
