date,tavg,tmin,tmax,prcp,city
2005-01-01,21.7,17.3,27.1,0.0,Bangalore
2005-01-02,22.3,17.3,28.1,0.0,Bangalore
2005-01-03,22.8,17.6,29.1,0.0,Bangalore
2005-01-04,22.3,17.8,30.3,0.0,Bangalore
2005-01-05,21.4,15.9,28.2,0.0,Bangalore
2005-01-06,21.2,15.7,29.1,0.0,Bangalore
2005-01-07,21.2,14.0,28.9,0.0,Bangalore
2005-01-08,20.8,15.9,26.8,0.0,Bangalore
2005-01-09,18.9,14.9,25.9,0.0,Bangalore
2005-01-10,20.7,13.9,30.3,0.0,Bangalore
2005-01-11,22.1,14.5,31.8,0.0,Bangalore
2005-01-12,22.1,15.5,30.5,0.0,Bangalore
2005-01-13,21.8,15.8,29.5,0.0,Bangalore
2005-01-14,21.1,15.3,28.2,0.0,Bangalore
2005-01-15,20.7,15.0,27.9,0.0,Bangalore
2005-01-16,21.8,14.4,29.1,0.0,Bangalore
2005-01-17,22.3,16.2,30.5,0.0,Bangalore
2005-01-18,22.9,17.8,30.0,0.0,Bangalore
2005-01-19,23.2,18.6,29.8,0.0,Bangalore
2005-01-20,22.5,17.6,29.7,0.0,Bangalore
2005-01-21,22.8,16.9,29.5,0.0,Bangalore
2005-01-22,22.9,18.3,29.7,0.0,Bangalore
2005-01-23,22.4,17.5,28.8,0.0,Bangalore
2005-01-24,22.9,18.8,30.3,0.0,Bangalore
2005-01-25,23.2,18.3,30.7,0.0,Bangalore
2005-01-26,23.4,17.5,30.5,0.0,Bangalore
2005-01-27,23.5,17.4,30.3,0.0,Bangalore
2005-01-28,22.4,17.5,28.2,0.0,Bangalore
2005-01-29,22.7,17.6,27.6,0.0,Bangalore
2005-01-30,21.7,16.4,27.1,0.0,Bangalore
2005-01-31,21.7,18.7,25.8,0.0,Bangalore
2005-02-01,22.6,19.3,28.3,0.0,Bangalore
2005-02-02,22.4,18.8,28.0,7.9,Bangalore
2005-02-03,22.7,18.8,28.4,0.0,Bangalore
2005-02-04,22.5,18.9,28.2,0.0,Bangalore
2005-02-05,23.1,19.2,29.5,0.0,Bangalore
2005-02-06,23.2,18.7,30.1,0.0,Bangalore
2005-02-07,23.0,17.0,30.7,0.0,Bangalore
2005-02-08,21.6,14.3,29.7,0.0,Bangalore
2005-02-09,22.1,15.8,30.1,0.0,Bangalore
2005-02-10,22.7,15.8,30.4,0.0,Bangalore
2005-02-11,23.2,16.1,31.0,0.0,Bangalore
2005-02-12,22.8,16.2,31.1,0.0,Bangalore
2005-02-13,23.8,16.3,32.4,0.0,Bangalore
2005-02-14,24.6,15.4,33.7,0.0,Bangalore
2005-02-15,26.1,16.7,35.7,0.0,Bangalore
2005-02-16,26.2,17.6,35.9,0.0,Bangalore
2005-02-17,26.6,20.4,35.0,0.0,Bangalore
2005-02-18,26.2,20.7,34.3,0.0,Bangalore
2005-02-19,26.0,19.4,34.5,0.0,Bangalore
2005-02-20,24.5,17.9,32.1,0.0,Bangalore
2005-02-21,24.6,17.3,32.9,0.0,Bangalore
2005-02-22,24.8,19.6,31.4,0.0,Bangalore
2005-02-23,25.6,19.7,32.6,0.0,Bangalore
2005-02-24,25.6,19.0,32.8,0.0,Bangalore
2005-02-25,25.5,18.4,33.5,0.0,Bangalore
2005-02-26,25.3,18.7,33.2,0.0,Bangalore
2005-02-27,25.1,17.2,33.2,0.0,Bangalore
2005-02-28,25.7,15.9,33.0,0.0,Bangalore
2005-03-01,25.3,17.5,32.6,0.0,Bangalore
2005-03-02,23.6,17.6,32.6,0.0,Bangalore
2005-03-03,25.5,17.7,33.6,0.0,Bangalore
2005-03-04,25.8,18.6,33.4,0.0,Bangalore
2005-03-05,26.4,19.7,33.1,0.0,Bangalore
2005-03-06,25.9,21.2,31.8,0.0,Bangalore
2005-03-07,25.6,20.5,32.1,0.0,Bangalore
2005-03-08,25.4,19.9,32.5,0.0,Bangalore
2005-03-09,25.7,19.8,32.7,0.0,Bangalore
2005-03-10,26.0,20.9,33.0,0.0,Bangalore
2005-03-11,25.6,19.4,33.5,0.0,Bangalore
