date,tavg,tmin,tmax,prcp
01-01-2005,16.1,,22,0
02-01-2005,14.1,9,21.8,0
03-01-2005,12.2,,18.1,0
04-01-2005,12.6,7.3,20,0
05-01-2005,12.4,7.7,19.3,0
06-01-2005,12.4,5.6,20.2,0
07-01-2005,13.2,7,20.5,0
08-01-2005,13.3,7.7,21.2,0
09-01-2005,14.8,6.5,24,0
10-01-2005,14.8,7.5,21,0
11-01-2005,13.1,8,22.1,0
12-01-2005,12.1,5.8,20.9,0
13-01-2005,13.7,5.7,21.4,0
14-01-2005,15.1,8.6,22.5,0
15-01-2005,15,9.5,22.6,0
16-01-2005,15.1,10.5,21,
17-01-2005,13.3,8.7,20.4,0
18-01-2005,12.2,,19.3,0
19-01-2005,11.6,4.3,19.5,0
20-01-2005,12.8,5.8,20,0
21-01-2005,12.8,8,16.1,
22-01-2005,13,9.7,16.9,0
23-01-2005,10.7,6.5,15.3,1
24-01-2005,11.3,5.7,14.6,0
25-01-2005,11.7,7.7,15.2,0
26-01-2005,13.2,6.8,20.3,0
27-01-2005,14.9,5.5,22,0
28-01-2005,16.1,11.8,22,2
29-01-2005,14.5,8.8,21,0
30-01-2005,14.5,8.4,20.7,0
31-01-2005,14.2,8.5,21.3,0
01-02-2005,12.5,7.5,19.2,0
02-02-2005,12.8,6.6,20.2,0
03-02-2005,13.3,5.7,22,0
04-02-2005,14.8,7.3,23.4,0
05-02-2005,15.9,7.3,23.8,
06-02-2005,15.4,12.2,18.8,7.1
07-02-2005,16.6,13,21.9,2
08-02-2005,18,13,24,30
09-02-2005,18.5,13.7,24.6,0
10-02-2005,18.6,13.2,25.2,
11-02-2005,18.8,14,27.1,0
12-02-2005,20.2,13.6,28.4,0
13-02-2005,19.6,15.5,25.1,0
14-02-2005,18.7,15.2,23.8,0
15-02-2005,18.2,14,22.4,2
16-02-2005,16.4,,23.8,2
17-02-2005,16.3,9.4,22,0
18-02-2005,17.9,12,25.4,0
19-02-2005,15.3,9.3,23.2,0
20-02-2005,14.1,8.8,19.7,0
21-02-2005,12.8,7.6,18.6,0
22-02-2005,13.7,7.1,19.8,0
23-02-2005,16.4,8.5,24.2,0
24-02-2005,17.4,9.9,23.2,
25-02-2005,18.5,12,25.2,
26-02-2005,19.1,12.1,26.3,0
27-02-2005,19.8,13.5,27.4,0
28-02-2005,20.7,12.5,28,0
01-03-2005,20.9,13.6,26.8,0
02-03-2005,20.7,13.1,,0
03-03-2005,23.8,15.5,32.4,
04-03-2005,22.1,,26.8,
05-03-2005,23.2,16.5,30.2,0
06-03-2005,23,16.3,30,0
07-03-2005,23.2,16.8,29.6,0
08-03-2005,23.5,17.5,30.6,0
09-03-2005,19.7,,24,
10-03-2005,18.6,14.5,24.7,0
11-03-2005,19.8,15,25.5,0
12-03-2005,21.7,15.1,28.5,0
13-03-2005,21.8,14.7,28.8,0
14-03-2005,23.4,16.2,30.4,0
15-03-2005,24.8,18,32.6,0
16-03-2005,25.9,18.4,34.4,0
17-03-2005,27.6,19.5,35.3,0
18-03-2005,26.1,20.2,33.3,0
19-03-2005,26.8,19.2,34.9,0
20-03-2005,25.1,19.4,32,0.8
21-03-2005,24.3,19.6,31.4,4.1
22-03-2005,23.4,18.5,29.8,20.6
23-03-2005,23.5,15.7,30.5,0
24-03-2005,22.9,15.9,29.1,0
25-03-2005,23.8,15.5,30.6,0
26-03-2005,25.5,17.6,32.5,0
27-03-2005,26,19,34,0
28-03-2005,26.6,18.7,33.1,0
29-03-2005,24.7,17.5,32.8,0
30-03-2005,25.9,17.6,31.8,0
31-03-2005,25.2,18.2,31.4,0
01-04-2005,25.1,16.7,32.3,0
02-04-2005,25,15.3,33.7,0
03-04-2005,26.4,16.7,34.6,0
04-04-2005,27.2,18.4,35.7,0
05-04-2005,28.6,17.7,38.6,0
06-04-2005,31.4,21.5,39.8,0
07-04-2005,31.6,25.2,40,0
08-04-2005,29.7,24.7,35.1,0
09-04-2005,26.3,19,32.5,0
10-04-2005,24.7,17.6,29.7,0
11-04-2005,24.9,18,31.4,0
12-04-2005,25.3,17.2,33.4,0
13-04-2005,28.4,18.9,36,0
14-04-2005,28.6,17.8,38.3,0
15-04-2005,29.9,19.4,40,0
16-04-2005,30.4,21.5,37.6,0
17-04-2005,29.6,20.4,36.5,0
18-04-2005,28.7,19,37.6,0
19-04-2005,29.2,18.4,38.7,0
20-04-2005,29.8,19.8,39.5,0
21-04-2005,30.8,20.4,40.2,0
22-04-2005,31.3,22.6,39.5,0
23-04-2005,32.5,26,39.5,0
24-04-2005,29.8,,38,
25-04-2005,30.7,23.8,37.3,0
26-04-2005,28.7,23,34.9,0
27-04-2005,28.3,22.4,37.1,
28-04-2005,28,20.6,34.6,0
