date,tavg,tmin,tmax,prcp
01-01-2005,16.6,13.5,23.6,0
02-01-2005,18.2,12.9,24.7,0
03-01-2005,16.2,,24.7,
04-01-2005,15.3,9.9,24,0
05-01-2005,14.3,8.6,24,0
06-01-2005,14.6,7.3,23.4,0
07-01-2005,14.5,7.6,23.4,0
08-01-2005,14.2,7.9,22.6,0
09-01-2005,14.4,8.5,23.2,0
10-01-2005,16.9,9.5,25.4,
11-01-2005,16,,25.4,1
12-01-2005,15.2,9.7,23.3,0
13-01-2005,14.9,7.7,23.2,0
14-01-2005,16.3,8.9,24.6,0
15-01-2005,15.6,9.5,24.6,0
16-01-2005,17.1,9.2,26.8,
17-01-2005,17.8,12.3,26.8,2
18-01-2005,16,,24.7,0
19-01-2005,14.4,9,21.6,0
20-01-2005,13.5,6.1,21.3,0
21-01-2005,14.3,,20.9,
22-01-2005,14.7,11.1,20.5,4.1
23-01-2005,15.4,,20.9,0.8
24-01-2005,13.7,8.4,21.1,0
25-01-2005,14.9,9.1,21.1,
26-01-2005,15.1,9.1,21.8,0
27-01-2005,15.8,7.1,23.9,0
28-01-2005,17.9,12.9,23.9,1
29-01-2005,17.5,12.3,23.8,0
30-01-2005,18.9,10.8,25.4,
31-01-2005,16.9,,25.4,1
01-02-2005,14.8,,20.8,5.1
02-02-2005,14.2,7.7,21.2,0
03-02-2005,14.9,7.7,22.7,0
04-02-2005,16.9,7.9,,0
05-02-2005,18,10.1,,
06-02-2005,18.4,12.3,25.8,0
07-02-2005,19.1,13.3,25.8,0
08-02-2005,18.1,14.1,25.6,0
09-02-2005,19.7,13.3,27.6,0
10-02-2005,20.9,13.4,,
11-02-2005,21.6,14.5,30.1,0
12-02-2005,23.4,14.7,30.3,0
13-02-2005,21.9,16.5,30.3,0
14-02-2005,21.2,14.9,28.8,
15-02-2005,20.3,14.4,27.8,0
16-02-2005,20.4,15.5,28.4,0.8
17-02-2005,20.2,13.7,29.7,0
18-02-2005,19.9,13.5,29.7,0
19-02-2005,23.8,15.4,31,
20-02-2005,21.6,,31,0
21-02-2005,17.7,10.1,30.1,
22-02-2005,16.6,,25.5,0
23-02-2005,17.4,8.6,25.4,0
24-02-2005,20.2,11.1,27.5,0
25-02-2005,20.9,,28.8,0
26-02-2005,20.4,13.8,29.1,0
27-02-2005,21.5,12.5,29.8,0
28-02-2005,23.4,16.1,32.3,0
01-03-2005,24.6,15.7,33.9,0
02-03-2005,24,17.1,33.9,0
03-03-2005,26.9,17.6,33.8,0
04-03-2005,25.5,18.5,34.3,
05-03-2005,22.6,18.5,34.3,1
06-03-2005,24.8,16.7,34.1,2
07-03-2005,23.7,17.6,34.1,0
08-03-2005,24.2,18.7,32.9,0
09-03-2005,23.6,16.9,32.6,
10-03-2005,22.7,15.3,33.2,
11-03-2005,21.9,,28.6,0
12-03-2005,21.8,14.1,29.5,0
13-03-2005,23.7,16.5,31.7,0
14-03-2005,24.6,16.9,31.9,0
15-03-2005,25.7,17.6,33,0
16-03-2005,26.9,18.5,34.8,0
17-03-2005,26.3,19.8,,0
18-03-2005,27.5,20.5,36.7,0
19-03-2005,28.9,21.8,36.7,0
20-03-2005,27.4,19.3,36.5,0
21-03-2005,27.1,20.2,36.1,0
22-03-2005,27.3,19.5,36.1,0
23-03-2005,26.5,18,34.6,0
24-03-2005,25.3,18,33.7,0
25-03-2005,23.9,15.5,33,0
26-03-2005,25.7,,35.5,0
27-03-2005,28,18.5,36.8,
28-03-2005,27.8,20.4,36.8,
29-03-2005,29.2,18.6,,0
30-03-2005,27.4,20.5,36.8,1
31-03-2005,26.7,18,36.2,0
01-04-2005,26.2,17.4,35.1,0
02-04-2005,26.4,16.5,36.1,0
03-04-2005,27.4,17.1,36.5,0
04-04-2005,28.9,16.7,37.3,0
05-04-2005,29.2,18.1,38.5,0
06-04-2005,32.8,20,40.5,0
07-04-2005,31.9,21.7,40.5,0
08-04-2005,30.5,23.2,39.6,0
09-04-2005,29.1,,39.4,0
10-04-2005,27.9,17.5,37.9,0
11-04-2005,25.8,17.7,36.9,0
12-04-2005,26.7,17.3,35.1,0
13-04-2005,29.2,18.1,38.1,0
14-04-2005,29.8,20.1,40.7,0
