date,tavg,tmin,tmax,prcp
01-01-2005,22.3,,26,0
02-01-2005,22.6,15.1,27.2,0
03-01-2005,23.5,16.6,30.1,0
04-01-2005,26.1,17.5,35,0
05-01-2005,27.5,19.6,33.3,0
06-01-2005,26,,32.8,0
07-01-2005,25.2,16.5,,0
08-01-2005,26.3,15.6,34.2,0
09-01-2005,26,17.1,32.2,0
10-01-2005,24.8,15.2,,0
11-01-2005,24.8,17.1,28.3,0
12-01-2005,24.8,15.7,,0
13-01-2005,26,15.3,,0
14-01-2005,24.5,15.2,30.5,0
15-01-2005,25.1,15.8,,0
16-01-2005,24.2,,,0
17-01-2005,23.8,15.7,,0
18-01-2005,21.8,14.5,,0
19-01-2005,22.3,11.5,30.8,0
20-01-2005,24.9,16.2,33.2,0
21-01-2005,25.6,16.6,33.2,0
22-01-2005,23.8,17.8,30.1,0
23-01-2005,22.6,15.1,30,0
24-01-2005,23.1,14.8,30,0
25-01-2005,23.1,17.3,30.6,0
26-01-2005,22.7,17.2,,0
27-01-2005,24.3,17.2,30.8,
28-01-2005,24.4,,,0
29-01-2005,24.4,,,0
30-01-2005,24.3,14.2,,
31-01-2005,24.7,,,0.3
01-02-2005,25.7,17.5,,0
02-02-2005,26.4,17.6,,0
03-02-2005,26.8,15.3,,0
04-02-2005,27.6,16.5,,0
05-02-2005,27.2,16.8,,0
06-02-2005,26.7,19,,0
07-02-2005,27,20.2,,0
08-02-2005,27.6,18.8,,0
09-02-2005,28.8,21.6,,0
10-02-2005,27.9,18.5,,0
11-02-2005,26.9,18.6,33.6,0
12-02-2005,28.2,19.6,,0
13-02-2005,29.6,17.1,35,0
14-02-2005,28.8,17.6,,0
15-02-2005,27.3,16.5,,0
16-02-2005,27.4,21.3,,0
17-02-2005,26.1,20.6,,0
18-02-2005,25.2,,,0
19-02-2005,24.4,,,0
20-02-2005,22.6,12.7,27,0
21-02-2005,25.2,12.5,,0
22-02-2005,25.2,,,0
23-02-2005,24,14.5,31.4,0
24-02-2005,25.4,16.2,32.8,0
25-02-2005,27.3,17.7,33.4,0
26-02-2005,29.8,19.3,,0
27-02-2005,28.3,21.5,35.2,0
28-02-2005,26.4,20.6,30.5,0
01-03-2005,26.6,21.1,31.1,0
02-03-2005,26.2,,,0
03-03-2005,26.2,21,,0
04-03-2005,25.8,21.6,30.2,0
05-03-2005,25.7,20,30.4,0
06-03-2005,25.3,21.6,29.5,0
07-03-2005,24.7,20.6,28.5,0
08-03-2005,25.1,20.6,29.1,
09-03-2005,24.7,19.5,,0
10-03-2005,25.4,18.1,,0
11-03-2005,26.2,,,0
12-03-2005,26.8,18.6,33.2,0
13-03-2005,27.5,18.4,35.5,0
14-03-2005,27.8,18.9,34.4,0
15-03-2005,27.9,19,,0
16-03-2005,28,19.7,34.1,0
17-03-2005,29.6,21.7,36.1,0
18-03-2005,29.7,21.7,,0
19-03-2005,29.8,22.1,,0
20-03-2005,28.6,22.6,33,0
21-03-2005,28.4,23.6,33.7,0
22-03-2005,27.8,,,0
23-03-2005,26.6,22.2,30.6,0
24-03-2005,26.5,21,30.2,0
25-03-2005,28.3,22.1,,0
26-03-2005,27.8,19.2,33.4,0
27-03-2005,28,21,33.6,0
28-03-2005,27.1,21.1,31.2,0
29-03-2005,27.3,23,30.6,0
30-03-2005,26.9,22.5,31.1,0
31-03-2005,27.7,21.6,32.6,0
01-04-2005,27.8,21.1,,0
02-04-2005,30.4,23.3,36,0
03-04-2005,31.8,22.8,,0
04-04-2005,31.1,25,38.7,0
05-04-2005,29.9,22.6,,0
06-04-2005,30,24.5,,0
07-04-2005,29.2,,33.1,0
08-04-2005,28.1,,,0
09-04-2005,27.8,22.4,32.1,0
10-04-2005,28.5,21.5,35.1,0
11-04-2005,28.4,19.7,36.1,0
12-04-2005,29.1,23,34.7,0
13-04-2005,28.7,25.6,,0
14-04-2005,28.7,,34.7,0
15-04-2005,28.9,25.6,33.5,0
16-04-2005,28.4,,34.6,0
17-04-2005,28.6,25.6,33.5,0
18-04-2005,29.4,23,36.9,0
19-04-2005,29.6,22,35.6,0
20-04-2005,30.1,24,35.6,0
21-04-2005,28.7,,33.4,0
22-04-2005,28.3,25.8,31.6,
23-04-2005,29,27,33.3,0
24-04-2005,29.6,25.8,34.1,0
25-04-2005,28.7,,33.5,0
26-04-2005,28.7,24.5,34.7,0
27-04-2005,28.1,24.4,32.5,0
28-04-2005,28.4,24.6,33.3,0
29-04-2005,28.3,24,34.1,0
30-04-2005,28.2,24.2,32.5,0
01-05-2005,28.6,24.8,32.6,0
02-05-2005,28.6,25.7,33,0
03-05-2005,28.7,25.7,33,
04-05-2005,29,27,33.3,0
05-05-2005,28.4,,32.6,0
06-05-2005,28.7,25.2,32.8,0
07-05-2005,29,25.9,32.8,0
08-05-2005,28.8,26.8,32.6,0
09-05-2005,28.9,26.6,33.4,0
10-05-2005,29.3,26.6,33.4,0
11-05-2005,28.8,,,0
12-05-2005,29,25,33.5,0
13-05-2005,28.6,24.8,34,0
14-05-2005,28.6,23.6,33.3,0
15-05-2005,28.4,24.4,33,0
16-05-2005,28.9,25.2,33,0
17-05-2005,29.1,26.4,34,0
18-05-2005,29.2,27,33.4,0
19-05-2005,29.6,,33.5,0
20-05-2005,29.4,25.8,33.7,0
21-05-2005,30.6,27.5,33.8,0
22-05-2005,30.9,26.4,33.7,0
23-05-2005,30.6,26.5,33.3,0
24-05-2005,30.8,27.6,33.7,0
