date,tavg,tmin,tmax,prcp
01-01-2005,21.7,,27.1,0
02-01-2005,22.3,17.3,,0
03-01-2005,22.8,17.6,29.1,0
04-01-2005,22.3,17.8,30.3,0
05-01-2005,21.4,15.9,28.2,0
06-01-2005,21.2,15.7,29.1,0
07-01-2005,21.2,14,28.9,0
08-01-2005,20.8,15.9,26.8,0
09-01-2005,18.9,14.9,25.9,0
10-01-2005,20.7,13.9,30.3,0
11-01-2005,22.1,14.5,31.8,0
12-01-2005,22.1,15.5,30.5,0
13-01-2005,21.8,15.8,29.5,0
14-01-2005,21.1,15.3,28.2,0
15-01-2005,20.7,15,27.9,0
16-01-2005,21.8,14.4,29.1,0
17-01-2005,22.3,16.2,30.5,0
18-01-2005,22.9,17.8,30,0
19-01-2005,23.2,18.6,29.8,0
20-01-2005,22.5,17.6,29.7,0
21-01-2005,22.8,16.9,29.5,0
22-01-2005,22.9,18.3,29.7,0
23-01-2005,22.4,17.5,28.8,0
24-01-2005,22.9,18.8,30.3,0
25-01-2005,23.2,18.3,30.7,0
26-01-2005,23.4,17.5,30.5,0
27-01-2005,23.5,17.4,30.3,
28-01-2005,22.4,,28.2,0
29-01-2005,22.7,17.6,,0
30-01-2005,21.7,16.4,27.1,0
31-01-2005,21.7,18.7,25.8,0
01-02-2005,22.6,19.3,28.3,
02-02-2005,22.4,18.8,28,7.9
03-02-2005,22.7,18.8,28.4,0
04-02-2005,22.5,18.9,28.2,0
05-02-2005,23.1,19.2,29.5,0
06-02-2005,23.2,18.7,,0
07-02-2005,23,17,30.7,0
08-02-2005,21.6,14.3,29.7,0
09-02-2005,22.1,15.8,30.1,0
10-02-2005,22.7,15.8,30.4,0
11-02-2005,23.2,16.1,31,0
12-02-2005,22.8,,31.1,0
13-02-2005,23.8,16.3,32.4,0
14-02-2005,24.6,15.4,33.7,0
15-02-2005,26.1,16.7,35.7,0
16-02-2005,26.2,17.6,35.9,0
17-02-2005,26.6,20.4,35,0
18-02-2005,26.2,20.7,34.3,0
